"Item","Part No.","Description","Qty."
"1","","Mast 1 assembly (refer to 302.1)","1"
"2","","Mast 2 assembly (refer to 303.1)","1"
"3","","Mast 3 assembly (refer to 305.1)","1"
"4","","Mast 4 assembly (refer to 306.1)","1"
"5","","Mast 5 assembly (refer to 307.1)","1"
"6","","Mast 6 assembly (refer to 308.1)","1"
"7","","Lift cylinder assembly (refer to 501.1)","1"
"8","00001061","Screw  GB/T 70.1  M8×20","4"
"9","00000609","Washer  GB/T 93  8","4"
"10","00000620","Washer  GB/T 97.1  6","4"
"11","00000621","Washer  GB/T 93  6","4"
"12","00001034","Screw  GB/T 70.1  M6×25","4"
"13","10005952","Soleplate weldment","1"
