"Item","Part Number","Description","Qty.","Remark"
"30","00005691","Fitting, Straight","1",""
"31","50008466","Hose Assembly","1",""
"32","50004557","Hose Assembly","1",""
"33","50008660","Hose Assembly","1",""
"34","50003330","Hose Assembly","1",""
"35","50006465","Hose Assembly","1",""
"36","00002071","Fitting, Straight","2",""
"37","10000069","Tube，return","1",""
"38","00001115","Plug","1",""
"39","","","","Not used"
"40","00001114","Plug","2",""
"41","00001772","Fitting, Straight","2",""
"42","00002072","Fitting, Straight","1",""
"43","50008465","Hose Assembly","1",""
"44","00001501","Fitting, Straight","2",""
"45","50008464","Hose Assembly","1",""
"46","00001504","Fitting, Straight","1",""
"47","00001731","Fitting, Straight","1",""
"48","50008661","Hose Assembly","1",""
"49","00001783","Fitting, Straight","1",""
"50","00001776","Fitting, Straight","1",""
"51","00006269","Fitting, Straight","1",""
