"Item","Part Number","Description","Qty.","Remark"
"1","00010633","Rear Axle Assembly","1",""
"2","00002904","Bolt  GB/T 5783  M14 × 40","8",""
"3","00001258","Spring Washer  GB/T 93  14","8",""
"4","00001043","Flat Washer  GB/T 97.1  14","8",""
"5","00004487","Nut  GB/T 6182  M22","16",""
"6","00002550","Flat Washer  GB/T 97.1  22","32",""
"7","00001249","Nut  GB/T 6182  M12","8",""
"8","00000814","Flat Washer  GB/T 97.1  12","24",""
"9","50005351","Bracket","2",""
"10","00002452","Bolt  GB/T 5783  M12 × 45","8",""
"11","00002059","Bolt  GB/T 5783  M12 × 30","8",""
"12","00000815","Spring Washer  GB/T 93  12","8",""
"13","50006997","Bracket (Left Side)","1",""
"14","00001554","O-Ring","1",""
"15","00006258","Drive Motor Assembly","1",""
"16","00006639","Screw  GB/T 70  M20 × 45","4",""
"17","00002219","Spring Washer  GB/T 93  20","4",""
"18","00008669","Front Axle Assembly","1",""
"19","00006812","Bolt  GB/T 5782  M22 × 210","16",""
"20","90031650","Seat, Axle Lockout Cylinder Assembly","2",""
"21","90031656","Bracket, Link","2",""
"22","00008695","Screw  GB/T 70  M20 × 130","4",""
"23","00001050","Flat Washer  GB/T 97.1  20","4",""
"24","00001059","Screw  GB/T 70  M10 × 30","16",""
"25","00000679","Spring Washer  GB/T 93  10","16",""
"26","00000615","Flat Washer  GB/T 97.1  10","16",""
"27","00006270","Propeller Shaft","1",""
"28","50007000","Bracket (Right Side)","1",""
"29","90031649","Bracket, Link","2",""
