"Item","Part Number","Description","Qty.","Remark"
"1","00006280","Relay","4",""
"2","00001030","Screw  GB/T 70  M5 × 10","4",""
"3","00000606","Spring Washer  GB/T 93  5","6",""
"4","00000605","Flat Washer  GB/T 97.1  5","6",""
"5","00000818","Bolt  GB/T 5783  M6 × 16","2",""
"6","00000621","Spring Washer  GB/T 93  6","6",""
"7","00002583","Flat Washer  GB/T 96.1  6","2",""
"8","92101749","Support","1",""
"9","00000995","Bolt  GB/T 5783  M8 × 30","4",""
"10","00000609","Spring Washer  GB/T 93  8","4",""
"11","00000608","Flat Washer  GB/T 97.1  8","4",""
"12","00000757","Seat, Fuse","2",""
"13","00001232","Screw  GB/T 818  M4 × 16 - H","4",""
"14","50000099","Copper Bar 3","3",""
"15","00006155","Power Distribution Module (Refer to 7-3)","1",""
"16","00000774","Screw  GB/T 70  M6 × 20","4",""
"17","00000620","Flat Washer  GB/T 97.1  6","4",""
"18","00001252","Screw  GB/T 70  M5 × 12","2",""
"19","00005407","Contactor","1",""
"20","00010402","600A Fuse","1",""
