"Item","Part Number","Description","Qty.","Remark"
"1","00002046","Bolt  GB/T 5783  M12 × 35","4",""
"2","00000815","Spring Washer  GB/T 93  12","4",""
"3","00000814","Flat Washer  GB/T 97.1  12","4",""
"4","00002464","8902-12085 Pin, Lock","4",""
"5","00000111","895-45145 Pin, Pivot","2",""
"6","00000761","8813-455545 Sleeve Bearing","8",""
"7","50008153","Rod, Connection 1","2","BA22CERT2 
BA20CERT2 
BA18CERT2"
"","50008356","Rod, Connection 1","2","BA16CERT2"
"8","00010465","895-45170 Pin, Pivot","2","BA22CERT2"
"","00010234","895-45155 Pin, Pivot","2","BA20CERT2 
BA18CERT2 
BA16CERT2"
"9","00002895","Bolt  GB/T 5783  M6 × 35","1",""
"10","00000620","Flat Washer  GB/T 97.1  6","2",""
"11","00000619","Bolt  GB/T 5783  M6 × 25","1",""
"12","00000774","Screw  GB/T 70  M6 × 20","4",""
"13","00000621","Spring Washer  GB/T 93  6","4",""
"14","00002583","Flat Washer  GB/T 96.1  6","6",""
"15","50008091","Bracket, Switch","1",""
"16","00000750","Switch, Limit","1",""
"17","00000742","Nut  GB/T 889.1  M6","2",""
