"Item","Part Number","Description","Qty.","Remark"
"1","00001055","Bolt  GB/T 5783  M12 × 40","13",""
"2","00000815","Spring Washer  GB/T 93  12","9",""
"3","00002601","Flat Washer  GB/T 96.1  12","9",""
"4","00000814","Flat Washer  GB/T 97.1  12","8",""
"5","50011691","Battery Module","1",""
"6","00001249","Nut  GB/T 6182  M12","4",""
"7","50008912","Hydraulic Module","1",""
"8","00001057","Bolt  GB/T 5783  M16 × 45","4",""
"9","00003071","Flat Washer  GB/T 96.1  16","8",""
"10","00001257","Nut  GB/T 6182  M16","4",""
