"Item","Part Number","Description","Qty.","Remark"
"1","00010360","Slew Drive Assembly","1",""
"2","50007642","Plate","2",""
"3","00001055","Bolt  GB/T 5783  M12 × 40","4",""
"4","00000815","Spring Washer  GB/T 93  12","12",""
"5","00000814","Flat Washer  GB/T 97.1  12","20",""
"6","92049292","Seal","1",""
"7","00001249","Nut  GB/T 6182  M12","4",""
"8","92049291","Support","4",""
"9","00002046","Bolt  GB/T 5783  M12 × 35","8",""
"10","92047752","Radiator","1",""
"11","90011240","Washer","8",""
"12","90011239","Rubber Ring","8",""
"13","90011145","Spacer","4",""
"14","00001300","Bolt  GB/T 5782  M12 × 90","4",""
"15","92049294","Temperature Sensor","1",""
"16","00010361","Bolt  GB/T 5789  M20 × 130","23",""
