"Item","Part Number","Description","Qty.","Remark"
"1","00001034","Screw  GB/T 70  M6 × 25","12",""
"2","90001755","Clamp","6",""
"3","92049063","Support Tubes","3",""
"4","00000818","Bolt  GB/T 5783  M6 × 16","6",""
"5","00000621","Spring Washer  GB/T 93  6","6",""
"6","00002583","Flat Washer  GB/T 96.1  6","6",""
"7","00008962","Clamp","1",""
"8","90001243","Spacer","1",""
"9","00002488","Bolt  GB/T 5783  M8 × 35","1",""
"10","00000609","Spring Washer  GB/T 93  8","1",""
"11","00000608","Flat Washer  GB/T 97.1  8","1",""
"12","50007644","Clamp","6",""
