"Item","Part Number","Description","Qty.","Remark"
"1","00001063","Bolt  GB/T 5783  M8 × 16","5","BA22CRT 
BA20CRT"
"","00001063","Bolt  GB/T 5783  M8 × 16","2","BA18CRT 
BA16CRT"
"2","00000609","Spring Washer  GB/T 93  8","15","BA22CRT 
BA20CRT"
"","00000609","Spring Washer  GB/T 93  8","12","BA18CRT 
BA16CRT"
"3","00000608","Flat Washer  GB/T 97.1  8","12",""
"4","92029902","Block","1",""
"5","50007936","Pin","1",""
"6","50008693","Cover","1","BA22CRT 
BA20CRT"
"7","00002000","Flat Washer  GB/T 96.1  8","3","BA22CRT 
BA20CRT"
"8","00010664","Bolt  GB/T 5789  M20 × 120","24","BA22CRT"
"","00010362","Bolt  GB/T 5789  M20 × 110","24","BA20CRT 
BA18CRT 
BA16CRT"
"9","00003165","Beacon","1",""
"10","00000875","Bolt  GB/T 5783  M8 × 20","6",""
"11","00001236","Nut  GB/T 889.1  M4","4",""
"12","00000778","Flat Washer  GB/T 97.1  4","4",""
"13","50000822","Latch","2",""
"14","00001054","Screw  GB/T 70  M4 × 12","10",""
"15","50008315","Housing","1",""
"16","00000993","Bolt  GB/T 5783  M8 × 25","4",""
"17","00010666","PVG Valve Block (Refer to 2-3)","1",""
"18","50008271","Support","1",""
"19","00000818","Bolt  GB/T 5783  M6 × 16","10",""
"20","00000621","Spring Washer  GB/T 93  6","10",""
"21","00000620","Flat Washer  GB/T 97.1  6","10",""
"22","50008319","Hinge","1",""
