"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"35","00773700300001100  Telescopic  cylinder  support  plate","","1",""
"36","1040004520","Bolt  M8×30-8.8","2","GB/T5783"
"37","00773700301400000  Upper  dust  brush","","1",""
"38","1040300771","Washer  6-200HV","39","GB/T97.1"
"39","1040001640","Bolt  M6×25-A2-70","8","GB/T5783"
"40","00773700301800000  Side  dust  brush","","2",""
"41","00773700301600000  Lower  dust  brush","","1",""
"42","1040201896","Nut  M6-8","8","GB/T889.1"
"43","00773700300200004  Basic  arm","","1",""
"44","00773400300001070  Bearing","","6",""
"45","00773700300600000  No.1  boom  luffing  cylinder","","1",""
"46","1040002446","Bolt  M16×40-8.8","1","GB/T5783"
"47","00773400400001250  Stop  pin","","1",""
"48","00773700300001030  Pin  III","","1",""
"49","1040004553","Bolt  M6×35-8.8","4","GB/5783"
"50","1040300735","Washer  6-200HV","8","GB/T96.1"
"51","00773700300001190  Wire  tube  cover","","2",""
"52","1040103133","Screw  M6×30-A2-70","8","GB/T70.3"
"53","00773700300001140  Pipeline  pressure  plate","","2",""
"54","00773700300001240  Hose  holder","","2",""
"55","1040005844","Bolt  M6×10-A2-70","20","GB/T5783"
"56","1040300771","Washer  6-200HV","39","GB/T97.1"
"57","00773700300001210  Main  arm  sealing  plate","","5",""
"58","1040002738","Bolt  M6×12-A2-70","4","GB/T5783"
"59","00773700302400001  Protective  cover","","1",""
"60","1040102778","Screw  M6×10-8.8","3","GB/T70.1"
"61","1040002437","Bolt  M12×35-8.8","2","GB/T5783"
"62","00773400200001070  Stop  pin","","2",""
"63","00773700300001010  Pin  I","","1",""
"64","00773700300800000  Lower  leveling  cylinder","","1",""
