"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","00773400100261030","Plate  II","1",""
"2","1040005844","bolt","4",""
"3","1040300771","Washer  6-200HV","32","GB/T5783-2000"
"4","00773400100260020","Protective  cover","1","GB/T97.1-2002"
"5","00773400100261060","bolt","2",""
"6","00773400100261050","Bearing","2",""
"7","1040302480","Washer  8-200HV","4",""
"8","1040200503","Nut  M8-8","6","GB/T96.1-2002"
"9","1040200504","Nut  M10-8","4","GB/T889.1-2000"
"10","1040302512","Washer  10-200HV","8","GB/T889.1-2000"
"11","1040004508","Bolt  M10×45-8.8","4","GB/T96.1-2002"
"12","00773406300201030","Rubber  pad","2","GB/T5783-2000"
"13","00773400130810003","Platform  weldment  weldment","1",""
"14","00773400130600000","Hydraulic  valve  frame  weldment","1",""
"15","1040005852","Bolt  M12×20-8.8","2",""
"16","00773400130401040","Pad  I","8","GB/T5787-2000"
"17","1054600077","Needle  Roller  Bearings","8",""
"18","02564400100420000","Bracket  weldment","1",""
"19","1040200507","Nut  M12-8","4",""
"20","1040302821","Washer  12-200HV","6","GB/T889.1-2000"
"twenty  one","1040004556","Bolt  M12×35-8.8","4","GB/T96.1-2002"
"twenty  two","00773400100401040","Block","1","GB/T16674.1-2016"
"twenty  three","1040301515","Washer  8-200HV","7",""
"twenty  four","1040103112","Screw  M8×25-8.8","7","GB/T97.1-2002"
"25","00773400130401060","Block  III","2","GB/T70.1-2000"
"26","1040001703","Bolt  M12×65-10.9","2",""
"27","1040201163","Nut  M12-10","2","GB/T5782-2000"
"28","1040302490","Washer  12-200HV","4","GB/T889.1-2000"
"29","02564400100401020","axis","4","GB/T97.1-2002"
"30","1080000005","Oil  cup  M6×1","8",""
"31","02564400100401030","Axis  plate","4","JB_T7940.1_1995"
"32","1040004646","Bolt  M10×15-8.8","4",""
"33","00773400130410000","Transition  seat","1","GB/T5783-2000"
