"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","1040002458","Bolt  M8×40-8.8","8","GB/T5783"
"2","00773601100200000  Right  hood  welding","","1",""
"3","00773601100001020  Adjustment  pad","","4",""
"4","1040201089","nut  M8-8","24","GB/T6170"
"5","00773401100700000  Hinge","","4",""
"6","1040302480","Washer  8-200HV","52","GB/T96.1"
"7","1040004520","Bolt  M8×30-8.8","12","GB/T5783"
"8","1040301515","Washer  8-200HV","8","GB/T97.1"
"9","1040301510","Washer","28","GB/T93"
"10","1040004519","8  Bolt  M8×25-8.8  Nut","12","GB/T5783"
"11","1040200503","Screw","12","GB/T889.1"
"12","1040100105","M6×25-8.8  Washer","14","GB/T70.1"
"13","1040300771","GB/T97.1-2002  Bolt","14","6-200HV"
"14","1040004590","M8×14-8.8  15","4","GB/T5783"
"","00773601100800000  Right  lock  washer  10  Nut","","1",""
"16","1040301502","M10-8","4","GB/T93"
"17","1040200113","","4","GB/T6170"
"","00773601100001030  right  lock  seat","","1",""
"19","1040302512","Washer  10-200HV","4","GB/T96.1"
"20","1040004565","Bolt  M10×30-8.8-DKL  Hydraulic","4","GB/T5783"
"21","1109900765","door  lock","1","50075-C37K"
"22","1110100359","gas  spring  extension  length
435mm,S=162mm,F=9
00N,M8×20","5","000816"
"23","1100700163","Door","2","26983-09"
"","00773601100400000  Left  hood  welding","","1","handle  24 "
"25","1109900766","Battery  door","1",""
"","00773601100600000  Left  lock  seat  27","","1","lock  26"
"","00773601100001010  Left  lock  seat  gas  spring","","1",""
"28","1020605390","","1",""
