"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","1020810958","Rocker  switch","","1  Emergency  power  and  enabling"
"2","1020521445","Rocker  switch","1  Drive  orientation",""
"3","1020521444","Rocker  switch","1  lighting",""
"4","1020521443","Rocker  switch","","1.  Walking  speed  control"
"5","1020405061","Alarm  indicator  panel","1",""
"6","00773406200211050  Platform  electric  control  box  mask","","1",""
"7","1020502039","Emergency  stop  button","1",""
"","1020509007","Button  seat","1",""
"8","1020521445","Rocker  switch","1  Platform  leveling",""
"9","1029802085","Nylon  plug","5",""
"","1029804205","Clamp  nut","5",""
"10","1020520994","handle","1",""
"11","1020520995","Potentiometer","1",""
"12","1020521445","Toggle  switch","","1  Platform  rotation  switch"
"13","1020521445","Toggle  switch","","1  Flying  arm  lifting  switch"
"14","1020521445","Toggle  switch","1  Boom  extension",""
"15","1020521445","Toggle  switch","1  Tower  boom  lifting",""
"16","1020520993","handle","1",""
"17","1020202105","IO  Modules","1",""
"18","1022399012","Cable  Trough","1",""
"19","1020404405","Flash  Buzzer","1",""
"20","1029498090","terminal","7",""
"twenty  one","1029905392","terminal","4",""
"twenty  two","1029498090","terminal","4",""
"twenty  three","1020703394","DEUTSCH  Connectors","","1  Drag  chain  cable  harness"
"twenty  four","1020703393","Round  connector","","1  Platform  cable  harness"
