"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"32","00773400130401040  Pad  I","","8",""
"33","1040006458","Strengthened  semicircular  head  square  bolts
M12×50-8.8","1",""
"34","1040201381","Nut  M12-8","1","GB/T6170-2000"
"35","1040001703","Bolt  M12×65-10.9","2","GB/T5782-2000"
"36","1040302490","Washer  12-200HV","4","GB/T97.1-2002"
"37","1040201163","Nut  M  12-10","2","GB/T889.1-2000"
"38","00773400100401040  Block","","1",""
"39","1040103112","Screw  M8×25-8.8","7","GB/T70.1-2000"
"40","00773400130401060  Block  III","","2",""
"41","1040004556","Bolt  M12×35-8.8","8","GB/T16674.1-2016"
"42","1040005852","Bolt  M12×20-8.8","2","GB/T5787-2000"
"43","00773400130600000  Hydraulic  valve  frame  weldment","","1",""
"44","00771400120420001","Bracket  weldment","1",""
"45","02564400100401010  Connecting  rod","","1",""
"46","1040201111","Nut  M24-10","1","GB/T889-1986"
"47","1040301511","Washer  24-200HV","1","GB/T97.1-2002"
"48","1040004505","Bolt  M24×280-10.9","1","GB/T5782-2000"
"49","00773400100401030  Adjustment  pad  Tp1","","2",""
"50","00773400130410000  Transition  seat","","1",""
"51","1040006524","Bolt  M10×25-10.9","8",""
"52","1040004522","Bolt  M8×50-8.8","1","GB/T5783-2000"
"53","1040301515","Washer  8-200HV","9","GB/T97.1-2002"
"54","00775600101801020","spring","1",""
"55","00775600101801010  Lock  cylinder","","1",""
"56","00773400100261080  Baffle","","2",""
"57","1040102017","Screw  M6×45-A2-70","6",""
"58","00771400100201050  Baffle","","1",""
