"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","00773400800001200  Switch  support","","1",""
"2","1040001631","Bolt  M6×20-A2-70","2  GB/T5783-2000",""
"3","00773400800001042  Battery  tray","","1",""
"4","00773400800001171  Battery  separator","","1",""
"5","1040201896","Nut  M6-8","6","GB/T889.1-2015"
"6","1040300771","Washer  6-200HV","6","GB/T97.1-2002"
"7","00773400800001280  Battery  pressure  plate","","2",""
"8","00773400800001131  Battery  pull  rod","","4",""
"9","1040004517","Bolt  M8×16-8.8  Bolt","14  GB/T5783-2000",""
"10  1040002435","","M10×35-8.8","1","GB/T5783-2000"
"11","1040004520","Bolt  M8×30-8.8","2  GB/T5783-2000",""
"12  1040200503","","Nut  M8-8","4","GB/T889.1-2000"
"13  1040302821","","Washer  12-200HV","12  GB/T96.1-2002",""
"14  1040002436","","Bolt  M12×25-8.8  15","12  GB/T5783-2000",""
"","00773600800600001  Hydraulic  oil  tank  bracket","","1",""
"16  1040004590","","Bolt  M8×14-8.8","8  GB/T5783-2000",""
"","17  00773600801600000  Wire  bracket  18","","1",""
"","00773600800800000  Fuel  tank  bracket","","1",""
"","19  00773600802201010  Electric  control  cabinet  bracket","","1",""
"","20  00773600801200000  Door  contact  bracket  I","","1",""
"twenty  one","1040002433","Bolt  M10×20-8.8  Nut","12  GB/T5783-2000",""
"22  1040201089","","M8-8","4  GB/T6170-2000",""
"","23  00773700800001030  Pin  ÿ","","2",""
"","24  00773400400001250  Stop  pin","","4",""
"25  1040004570","","Bolt  M16×30-8.8  26","4  GB/T5783-2000",""
"","00773600801800000  Limit  support  I  27","","1",""
"","00773600800001040  Shaft  II","","2",""
"","28  00773700830001301  Main  valve  mounting  plate","","1",""
"","29  00773600800001050  Travel  control  valve  mounting  plate","","1",""
"30  1040004519","","Bolt  M8×25-8.8","10  GB/T5783-2000",""
"","31  00773600802000000  Limit  support  II","","2",""
"32  1040004678","","Door  stop","4",""
"33  1040200113","","bolt  nut  M10-8","9  GB/T6170-2000",""
