"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","00773400312200000  Slider  assembly","","4",""
"2","00773400300001101  Adjusting  gasket","","4",""
"3","1040302410","Washer  4-200HV","4","GB/T97.1"
"4","1040004591","Bolt  M4×8-8.8","4","GB/T5783"
"5","1040302489","Washer  10-200HV","36","GB/T97.1"
"6","00771400340001090  Sensor  cover","","1",""
"7","00773700303000001  Slider  assembly","","12","GB/T96.1"
"8","00773400300001131  Adjusting  gasket  IV","","20",""
"9","1040004565","Bolt  M10×30-8.8-DKL","14","GB/T5783"
"10","1040002433","Bolt  M10×20-8.8","16","GB/T5783"
"11","00773700300001020  Pin  II","","1",""
"12","00773400300001140  Adjusting  gasket  V","","4",""
"13","1010306060","Telescopic  balancing  valve","1",""
"14","00773700300001051  Telescopic  cylinder  pin","","2",""
"15","1040002434","Bolt  M10×25-8.8","2","GB/T5783"
"16","00773400300001200  Stop  pin","","2",""
"17","1040004518","Bolt  M8×20-8.8","4","GB/T5783"
"18","1040301515","Washer  8-200HV","6","GB/T97.1"
"19","00773700300001181  Cylinder  adjustment  gasket  II","","2",""
"20","00773700300001171  Cylinder  adjustment  gasket  I","","8",""
"twenty  one","00773700302000000  Right  card  board","","1",""
"twenty  two","00773700302200000  Left  card","","1",""
"twenty  three","00773700300991040  Travel  switch","","2",""
"twenty  four","00773700300001090  Long  screw  M12×260","","2",""
"25","1040302490","Washer  12-200HV","4","GB/T97.1"
"26","00773700300001080  Pipe  stop","","2",""
"27","1040201381","Nut  M12-8","2","GB/T6170"
"28","1040103076","Screw  M8×16-8.8","4","GB/T70.3"
"29","00773700400001290  Card  board","","2",""
"30","00773700300001040  Pin  IV","","1",""
"31","00773400300001210  Bearing","","8",""
"32","00773700300400004  Telescopic  arm","","1",""
"33","00773700301000000  Upper  leveling  cylinder","","1",""
"34","00773700301200000  Telescopic  cylinder","","1",""
