"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","00773400100260020  Protective  cover","","1",""
"2","00773400100261030  Plate  ÿ","","1",""
"3","1040005844","bolt","4","GB/T5783-2000"
"4","1040300771","Washer  6-200HV","36","GB/T97.1-2002"
"5","00773400100261060  Bolt","","2",""
"6","00773400100261050  Bearing","","2",""
"7","1040302480","Washer  8-200HV","4","GB/T96.1-2002"
"8","1040200503","Nut  M8-8","7","GB/T889.1-2000"
"9","1040200504","Nut  M10-8","4","GB/T889.1-2000"
"10","1040302512","Washer  10-200HV","8","GB/T96.1-2002"
"11","1040004508","Bolt  M10×45-8.8","4","GB/T5783-2000"
"12","00773406300201030","Rubber  pad","2",""
"13","00773600130210000  Platform  weldment","","1",""
"14","1040201896","Nut  M6-8","18","GB/T889.1-2015"
"15","1040006017","Screw  M6×25-A2-70","4",""
"16","00773400100261110  Block","","2",""
"17","1040102372","Hexagon  socket  head  screws
M6×20-A2-70","6","GB/T70.1-2000"
"18","1999904986","Document  Box","1",""
"19","00773600130201010  Anti-collision  block","","1",""
"20","1040103173","Screw  M6×50-8.8","2",""
"twenty  one","1040300514","Washer  5-200HV","12","GB/T97.1-2002"
"twenty  two","00773400100230000  Revolving  door","","1",""
"twenty  three","1029904911","Spring  pad","12","GB93-304"
"twenty  four","1101000163","Spring  hinge","2",""
"25","1040004672","Bolt  M5×10-8.8","12","GB/T5783-2000"
"26","1080000005","Oil  cup  M6×1","8","JB_T7940.1_1995"
"27","1040004646","Bolt  M10×15-8.8","4","GB/T5783-2000"
"28","00773400130401090  Axis  plate","","4",""
"29","02564400100401020  Axis","","4",""
"30","1054600077","Needle  Roller  Bearings","8",""
"31","02564400100401010  Connecting  rod","","1",""
