"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","1020201651","Display","1",""
"2","1020520084","Toggle  switch","1"," Platform  rotation"
"3","1020520084","Toggle  switch","1","Platform  leveling"
"4","1020520084","Toggle  switch","1","Flying  boom  lift"
"5","1020520084","Toggle  switch","1","Boom  extension"
"6","1020520084","Toggle  switch","1","Boom  lifting"
"7","1020519658","Emergency  stop  button","1","Emergency  stop  switch"
"","1020509007","Button  seat","1",""
"8","1020520084","Toggle  switch","1","Tower  boom  lifting"
"9","1020520943","Key  switch","1",""
"10","1020520084","Toggle  switch","1","Turntable  rotation"
"11","1020520084","Toggle  switch","1","Emergency  power  and  enabling"
"12","1020304559","Relay","1","Lighting  relay"
"13","1020304559","Relay","1","Parking  valve  relay"
"14","1020604934","Terminal  Blocks","11",""
"15","1020704265","Ground  terminal  block","3",""
"16","1020705826","Diode  Terminals","2",""
"17","1029904980","Terminal  Blocks","9",""
"18","1029903317","48  core  sheath","1","Turntable  cable  harness"
"19","1029902634","32  core  sheath","1","Turntable  cable  harness"
"20","1029902634","32  core  sheath","1","Boom  cable  harness"
"twenty  one","1020304584","Power  relay","1","System  power  supply"
"twenty  two","1020304584","Power  relay","1","Start  the  motor"
"twenty  three","1020304584","Power  relay","1","Radiator"
"twenty  four","1020304584","Power  relay","1","Fuel  pump"
"25","1020103903","Controller","1",""
"26","1020103955","Connector  components","1",""
