"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","00771007100601060  Plate  ÿ","","2",""
"2","1040004520","bolt","10","GB/T5783"
"3","1040301515","washer","30","GB/T97.1"
"4","00771007100601050  Plate  II  Bolt","","2",""
"5","1040004518","","4","GB/T5783"
"6","00771007100601010  Windshield","","1",""
"7","1040200170","Nuts","4","GB/T889"
"8","00771007100601020  Bend  plate  ÿ","","1",""
"9","00773407140601040  Return  pipe  I","","1",""
"10","00773407100601140  Pad","","6",""
"11","1040302821","washer","4","GB/T96.1"
"12","00773407100601130  Sponge  strip","","2",""
"13","1040002262","bolt","4","GB/T5783"
"14","00773407140601050  Return  pipe  II","","1",""
"15","1990202287","Spiral  turbine  shaft  clamp","8",""
"16","00773407140601070  Connector  II","","1",""
"17","1990202282","Turbine  worm  rod  clamp","2",""
"18","00771007100601030  Bend  plate  ÿ","","1",""
"19","00773407140601080  Water  supply  pipe","","1",""
"20","1000200483","Radiator","1",""
"twenty  one","assembly  00773407140601020  water  outlet  pipe  I","","1",""
"twenty  two","00773407140601060  Connector  I","","1",""
"twenty  three","00773407140601030  Water  outlet  pipe  II","","1",""
"twenty  four","00773407140601090  Steam  hose  I","","1",""
"25","1000300735","Expansion  tank","1",""
"26","1990202279","Turbine  shaft  clamp","4",""
"27","00773407140601100  Steam  hose  II","","1",""
"28","1040004619","bolt","4","GB/T5783"
"29","1040004517","bolt","12","GB/T5783"
"30","00773407140601010  Water  tank  mounting  plate","","1",""
"31","1040200503","Nuts","18","GB/T889.1"
"32","00771007100601040  Bend  plate  ÿ","","1",""
