"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","1040201904","Nut  M5-8","8","GB/T889.1"
"2","1040300514","Washer  5-200HV","8","GB/T97.1"
"3","00773700700001070  Transition  plate","","1",""
"4","00773700700001012  Rectangular  tube","","1",""
"5","00773700700001100  Pad","","1",""
"6","1040103076","Screw  M8×16-8.8","4","GB/T70.3"
"7","00773700700000002  Drag  chain  mechanism","","1",""
"7A  1109900986","","Drag  chain  connector  I  E4.421.12.1.1","1",""
"7B","1109900987","Drag  chain  connector  II  E4.421.12.1.2","1",""
"7C  1109900988","","Drag  chain  outer  plate  E4.42.01","35",""
"7D  1109900990","","Drag  chain  inner  plate  E4.42.02.075.0","35",""
"7E","1109900991","Drag  chain  crossbar  385.12","70",""
"7F","1109900993","Drag  chain  separator  42.1","35",""
"8","1040102751","Screw  M5×25-8.8","4","GB/T70.1"
"9","1040004519","Bolt  M8×25-8.8","4","GB/T5783"
"10","1040301515","Washer  8-200HV","10","GB/T97.1"
"11","1040302480","Washer  8-200HV","4","GB/T96.1"
"12","1040200503","Nut  M8-8","11","GB/T889.1"
"","13  00773700700400000  Bracket","","1",""
"14","00773400700001030  Nylon  block","","1",""
"15","1040102737","Screw  M8×30-8.8","3","GB/T70.1"
"16","00773400700001020  Hose  holder","","1",""
"","17  00773400700001050  Bend  mounting  plate","","1",""
"18","1040004557","Bolt  M8×50-8.8","2","GB/T16674.1"
"19","1040005925","Bolt  M5×80","4","GB/T5782"
"20","00773700700001060  Pipe  jacking","","4",""
"twenty  one","00773700700001091  Drag  chain  rectangular  pipe  clamp  II","","1",""
"twenty  two","00773700700001021  Drag  chain  rectangular  tube  clamp  I","","1",""
"","23  00773700700001030  Bent  plate","","1",""
"twenty  four","1040004603","Bolt  M8×75-8.8","2","GB/T5782"
