"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","1040004518","Bolt  M8×20-8.8","15","GB/T5783"
"2","1040301510","Washer  8","13","GB/T93"
"3","1040301515","Washer  8-200HV","42","GB/T97.1"
"4","00773602800001020  Cover","","1",""
"5","00773602800600000  Floating  cylinder","","2",""
"6","1040302493","Washer  20-200HV","8","GB/T97.1"
"7","1040003572","Bolt  M20×55-10.9-DKL","8","GB/T5783"
"8","1040004649","Screw  5/8-11UNC×45-10.9","24","ANSIB18.3"
"9","1040302492","Washer  16-200HV","24","GB/T97.1"
"10","1030202174","Reducer","4",""
"11","1030800696","Tire  33×12D610-R","2",""
"12","1040202297","Nut  M16×1.5-10  (Spiral)","36","GB/T6177.2"
"13","00773402800001280  Chassis  valve  block  mounting  plate","","1",""
"14","00771102810001110  Cover","","4",""
"15","1040004517","Bolt  M8×16-8.8","43","GB/T5783"
"16","00771102800001130  Cover","","1",""
"17","00771102810001100  Cover","","2",""
"18","00771102810001120  Cover","","2",""
"19","1030800695","Tire  33×12D610-L","2",""
"20","00773602800001010  Frame  cover","","1",""
"twenty  one","00773602800200001  Frame  welding  parts","","1",""
"twenty  two","00773702821000000  Chassis  weight  I","","1",""
"twenty  three","1040302483","Washer  20-200HV","4","GB/T96.1"
"twenty  four","1040201884","Nut  M24x3","4","GB/T6170"
"25","00773702821200000  Chassis  weight  II","","1",""
