"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"34","1040201111","Nut  M24-10","1",""
"35","1040301511","Washer  24-200HV","1","GB/T889-1986"
"36","00773400100401030  Adjustment  pad","","2","GB/T97.1-2002"
"37","1040006524","Bolt  M10×25-10.9","8",""
"38","1040004505","Bolt  M24×280-10.9","1",""
"38","02564400100401010  Connecting  rod","","2","GB/T5782-2000"
"39","1040201381","Nut  M12-8","1",""
"40","1040006458","Strengthened  semicircular  head  square  bolts
M12×50-8.8","1","GB/T6170-2000"
"41","1040102372","Hexagon  socket  head  screws
M6×20-A2-70","6",""
"42","1999904986","Document  Box","1","GB/T70.1-2000"
"43","00771600100201021","Baffle  I","1",""
"44","1040102017","Screw  M6×45-A2-70","6",""
"45","1040201896","Nut  M6-8","16",""
"46","1040006017","Screw  M6×25-A2-70","4","GB/T889.1-2015"
"47","00773400100261110","Stopper","2",""
"48","00773400100261080  Baffle","","2",""
"49","1022397103","Open  bellows","",""
