"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","00773606200410000  Turntable  cable  harness","","1",""
"2","/","Back  valve","/",""
"3","/","Forward  valve","/",""
"4","/","dynamo","/",""
"5","/","Oil  pressure","/",""
"6","/","Starter  motor  relay","/",""
"7","1020104107","Throttle  motor","1",""
"8","/","Coolant  temperature","/",""
"9","/","Glow  plug","/",""
"10","1020305006","Preheat  relay","1",""
"11","/","Air  filter  blockage  alarm","/",""
"12","/","Start-Stop  Valve","/",""
"13","/","Coolant  level","/",""
