"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","1029905348","Battery","1",""
"2","1020605356","Ring  insurance","2",""
"","0067220632181001A-c","Ring  safety  bracket","2",""
"","1020402443","Insulation  nut","2",""
"3","00773606200450050  Auxiliary  power  pump  and  insurance  connection","","1",""
"4","00773606200450070  Battery  positive  pole  and  preheating  fuse  connection","","1",""
"5","00773406200450020  Battery  negative  terminal  to  manual  switch  connection","","1",""
"6","1029900667","Manual  switch","1",""
"7","00773406200450030  Manual  switch  to  ground  connection","","1",""
"8","00773406200450060  Engine  and  negative  ground  connection","","1",""
"9","/","Grounding  stud","1",""
"10","00773606200450080  Connection  between  starting  motor  and  generator","","/",""
"11","1020305006","DC  contactor","1",""
"12","00773406200450010  Battery  and  starter  motor  connection","","1",""
"13","00773606200450010  Negative  grounding  and  auxiliary  pump  negative  connection","","1",""
