"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","1040004519","bolt","12","GB/T5783"
"2","1040301515","washer","twenty  four","GB/T97.1"
"3","00773407141001240  Exhaust  pipe  I","","1",""
"4","1040004619","bolt","12","GB/T5783"
"5","1040200398","Nuts","12","GB/T6177.1"
"6","00773407141020000  Muffler  bracket","","1",""
"7","00773407141001220  Muffler","","2","GB/T97.1"
"8","00773407151001060  Sealing  gasket","","2",""
"9","00773607101001040  Exhaust  pipe  ÿ","","1",""
"10","1040200503","Nuts","8","GB/T889.1"
"11","00773407101001030  Reinforcement  plate","","1",""
"12","00773607101001030  Exhaust  tail  pipe","","1",""
