"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"35","1040302529","Washer","6","GB/T96.1"
"36","1040004672","5-200HV  Bolt","6","GB/T5783"
"","00773700400001550  Adjusting","","2","M5×10-8.8"
"","00773700400001270  Protective","","2","washer  38"
"","00773700401000001  Lower  column","","1","plate  I"
"40","1040004599","Bolt  M8×60-8.8","8","GB/T5782"
"","00773700400001390  Baffle  I  42","","4",""
"","00773700400001351  Pipe  clamp  I  43","","2",""
"","00773700400200001  Lower  pressure  rod","","1",""
"","00773400300001070  Bearing  bolt","","8",""
"45","1040002445","M16×35-8.8","2","GB/T5783"
"","00773700400001020  Pin  II","","2",""
"47","1040101492","Screws","16",""
"","00773700400001010  Pin  I  49","","4",""
"","00773700401400000  No.  2  boom  luffing  cylinder","","2",""
"","00773700400001541  Cover  plate  51","","2",""
"","00773700400001290  Clamp  plate  52","","6",""
"","00773700400001080  Pin  VIII  Screw","","2",""
"53","1040103164","M10×30-8.8  54","6","GB/T70.3"
"","00773400400001020  Bearing  55","","16",""
"","00773700400001060  Pin  VI  56","","1",""
"","00773700401200000  Synchronous  pull  rod","","2",""
"","00773700400001180  Pin  fixing  plate  58","","2",""
"","00773700400001030  Pin  III","","2",""
"59","1040004499","Bolt  M20×45-8.8","2","GB/T5783"
"","00773400400001170  Stop  pin  61","","2",""
"","00773700400001040  Pin  IV  62","","2",""
"","00771400600001070  Self-lubricating  bearing","","8",""
"","00773700400001261  Spacer  T","","2",""
"64","1040002436","Bolt  M12×25-8.8","4",""
