"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"34","00773600801400000  Door  stop  bracket  II","","1",""
"35","00773400800001180  Rotation  limit  pin","","1",""
"36","00773700800001600  Pipeline  bracket","","1",""
"37","1040302512","Washer  10-200HV","14","GB/T96.1-2002"
"38","00773600800001080  Rotating  body  mounting  plate","","1",""
"39","1040100714","Screw  M12×130-8.8","1","GB/T70.1-2000"
"40","1040302490","Washer  12-200HV","3","GB/T97.1-2002"
"41","00773600800001100  Connector  mounting  plate","","1",""
"42","1040004511","Bolt  M12×30-8.8","3","GB/T5783-2000"
"43","1040002738","Bolt  M6×12-A2-70","2","GB/T5783-2000"
"44","00773700830400000  Pipeline  guard","","1",""
"45","00773700830001020  Rotary  limit  support","","1",""
"46","00773700800001021  Adjustment  plate","","6",""
"47","00773700800001210  Buffer  pad","","2",""
"48","1040302480","Washer  8-200HV","34","GB/T96.1-2002"
"49","1040302489","Washer  10-200HV","6","GB/T97.1-2002"
"50","1040102741","Screw  M10×40-8.8","6","GB/T70.1-2000"
"51","1040301515","Washer  8-200HV","10","GB/T97.1-2002"
"52","00773700830001200  Pipeline  bracket","","1",""
"53","00773700830200000  Turntable  welding  parts","","1",""
"54","00773400800001150  Friction  plate","","1",""
"55","00773400800001010  Bearing","","2",""
"56","00773400801400000  Tray  latch","","1",""
"57","00773600800001060  Limit  plate","","1",""
"58","00773400830601020  Control  box  cover","","1",""
"59","1040002555","Bolt  M6×16-A2-70","5","GB/T5783-2000"
"60","1040004619","Bolt  M8×35-8.8","2","GB/T5783-2000"
"61","00773400830601010  Connecting  plate","","1",""
"62","00773600800001090  Door  stop  mounting  plate  I","","2",""
"63","00773600800400000  Engine  bracket","","1",""
"64","1040302410","Washer  4-200HV","7","GB/T97.1-2002"
"65","1040300735","Washer  6-200HV","5","GB/T96.1-2002"
