"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","00773407140801050  Intake  pipe","","1",""
"2","1990202290","Spiral  turbine  vortex  rod","2",""
"3","1000100391","clamp  air  filter  assembly","1",""
"4","1040200503","Nuts","4","GB/T889.1"
"5","1040301515","washer","4","GB/T97.1"
"6","1040004520","bolt","2","GB/T5783"
"7","00771107121001060  Double  side  pipe  clamp","","1",""
"8","00773407140801030  Intake  steel  pipe","","1",""
"9","00773607100801020  Air  intake  hose  ÿ","","1",""
"10","00773407140801040  Bend  plate  I","","1",""
"11","1040004517","bolt","2","GB/T5783"
"12","1040302480","washer","2","GB/T96.1"
"13","1040004519","bolt","2","GB/T5783"
"14","00773407140801020  Air  intake  hose  II","","1",""
"15","1990202288","Spiral  turbine  shaft  clamp","3",""
