"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"66","00773400300001200  Stop  pin","","1",""
"67","1040004591","Bolt  M4×8-8.8","7","GB/T5783-2000"
"68","00773400800001221  Adjustment  pad","","2",""
"69","00773600800001010  Pallet  spacer","","1",""
"70","1040101492","Screw  M10×25-8.8","2","GB/T70.1-2000"
"71","1040002434","Bolt  M10×25-8.8","1","GB/T5783-2000"
"72","00773600800001030  Pallet  shaft","","1",""
"73","00773400830200000  Motor  installation","","1",""
"74","1990300400","U-shaped  rubber  strip","1",""
"75","00773400830201010  Cover","","1",""
"76","1040201743","Nut  M6","2","QC/T608-2011"
"77","1040004549","Bolt  M4×16-8.8","4","GB/T5783-2000"
"78","00773400830201020  Baffle","","1",""
