"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","1140101534","Right  angle  combination  connector","2",""
"2","1140114187","Pressure  test  connector","1",""
"3","1140101523","Straight  end  connector","2",""
"4","1140101461","Straight  end  connector","1",""
"5","11140101464","Straight  end  connector","8",""
"6","1040301515","Washer  8-200HV","4","GB/T97.1"
"7","1040004517","Bolt  M8×16-8.8","4","GB/T5783"
"8","1019807528","Travel  diverter  valve","1",""
"9","1140101820","Straight  end  connector","1",""
"10","1140101478","Right  angle  combination  connector","2",""
