"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","1000000823","specification  diesel  engine","1",""
"2","1040003912","bolt","4","GB/T5783"
"3","1040302492","washer","4","GB/T97.1"
"4","00773407140201060  Washer","","16",""
"5","1040302490","washer","15","GB/T97.1"
"6","1040002273","bolt","15","GB/T5786"
"7","00773407140201040  Bend  plate  III","","1",""
"8","00773407140201050  Bend  plate  V","","4",""
"9","1009900979","engine  shock  absorber","8",""
"10","00773407100201050  Pad","","1",""
"11","1040200161","Nuts","4","GB/T889"
"12","00773407140201010  Coupling  cover  screw","","1",""
"13","1040100097","","8","GB/T70.1"
"14","1040101692","bolt","3","GB/T5786"
"15","1009900968","Elastic  coupling  assembly","1",""
"16","00773407140201020  Bend  plate  I","","1",""
"17","00773407140201030  Bending  plate  II","","1",""
"18","1040302489","washer","1","GB/T97.1"
"19","1040003357","bolt","1","GB/T5786"
