"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","00773700401600000  Upper  column","","1",""
"2","00773700400001090  Pin  IX","","2",""
"3","00773400400001250  Stop  pin","","7",""
"4","1040002446","Bolt","5","GB/T5783"
"5","1040002437","Bolt  M12×35-8.8","1","GB/T5783"
"6","00773400200001070  Stop  pin","","5",""
"7","00773700400001100  Pin  shaft  X","","1",""
"8","00773700400800000  Upper  pressure  rod","","2",""
"9","1040004517","Bolt  M8×16-8.8","8","GB/T5783"
"10  1040301515","","Washer","20GB/T97.1",""
"11","1040004522","8-200HV  Bolt  M8×50-8.8","4","GB/T5783"
"","12  00773700400001400  Baffle  II  13","","2",""
"","00773700400001370  Pipe  clamp  III  14","","2",""
"","00773700400600000  Upper  tie  rod  15","","1",""
"","00773700400400000  Lower  tie  rod  16","","2",""
"","00773700400001130  Bearing  17","","4",""
"","00773700400001520  Screw  I  M12×240  18","","1",""
"","00773700400001380  Baffle  washer","","1",""
"19  1040302490","","12-200HV  Nut","1","GB/T97.1"
"20  1040200507","","M12-8  21","1","GB/T889.1"
"","00773700400001050  Pin  shaft  V  22","","1",""
"","00773700400001480  Cover  plate  23","","1",""
"","00773700400001150  Bearing  24","","4",""
"","00773700400001341  Pipeline  Cover  IV  Screw","","2",""
"25  1040103140","","M12×25-8.8  26","8",""
"","00773700400001500  Guide  Block  II  27","","1",""
"","00773700400001490  Guide  Block  I  28","","1",""
"","00773700400001070  Pin  VII  29","","2",""
"","00773700400001140  Bearing  30","","4",""
"","00773700400001280  Protective  Plate  II  31","","2",""
"","00773700400001471  Adjusting  Washer  II  32","","2",""
"","00773700400001461  Adjusting  Washer  I  33","","2",""
"","00773700400001451  Spacer  34","","2",""
"","00773700400001361  Pipe  clamp  II","","2",""
