"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","1010002352","Travel  pump","1",""
"2","1140115078","Straight  end  connector","1",""
"3","1140114946","Straight  end  connector","1",""
"4","1140115370","Straight  end  connector","2",""
"5","1140103362","Straight  end  connector","1",""
"6","1010001908","Gear  Pumps","1",""
"7","1040004653","Bolt  M12×30-10.9","2","GB/T15783"
"8","1140114045","Straight  end  connector","1",""
"9","1140111770","Straight  end  connector","2",""
"10","1040004029","Screw  M12×35-10.9","2","GB/T5783"
"11","1040301503","Washer  12","4","GB/T93"
