"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","/","Turntable  electric  control  box  1","/",""
"2","/","Turntable  electric  control  box  2","/",""
"3","1020202125","Solenoid  unloading  valve","1",""
"4","/","Main  boom  retract  valve","/",""
"5","/","Turntable  right  turn  valve","/",""
"6","/","Front  wheel  right  turn  valve","/",""
"7","/","Platform  action  main  control  valve  1  rise","/",""
"8","/","Fuel  level","/",""
"9","/","Tower  Boom  Lift  Valve","/",""
"10","/","Turntable  left  turn  valve","/",""
"11","/","Front  wheel  left  turn  valve","/",""
"12","/","Platform  action  main  control  valve  2  down","/",""
"13","/","Main  boom  lifting  valve","/",""
"14","/","Main  boom  extension  valve","/",""
"15","/","Tower  arm  stowed  position  limit  switch  2","/",""
"16","/","heat  sink","/",""
"17","/","Float  control  valve","/",""
"18","/","Two-speed  valve","/",""
"19","/","Brake  valve","/",""
"20","/","Body  tilt  sensor","/",""
"twenty  one","/","Angle  limit  switch","/",""
"twenty  two","1021404019","Alarm  buzzer","",""
"twenty  three","1020516032","Fuel  Pump","1",""
"twenty  four","00773606200420000  Oil-water  separator","","1",""
"25","1020404399","Tower  arm  stowed  position  limit  switch  1","1",""
"26","/","Working  warning  light","/",""
"27","/","Tower  arm  upper  limit  switch","/",""
"28","/","Battery  positive","/",""
"29","/","Ground","/",""
"30","1020304982","Leveling  selector  valve","1",""
"","","Auxiliary  power  pump  relay","",""
"","","road  lighting","",""
"","","ECU  cable  harness","",""
