"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","00773407140401130  Throttle  flexible  shaft","","1",""
"2","1040102372","hexagon  socket  head  screw","10","GB/T70.1"
"3","00773407140401140  Throttle  lever","","1",""
"4","1040200304","Nuts","1","GB/T889"
"5","1040300771","washer","9","GB/T97.1"
"6","00773407140401120  Bend  plate  III","","1",""
"7","1040004619","bolt","4","GB/T5783"
"8","1040301515","washer","6","GB/T97.1"
"9","00773407140401070  Bending  plate  II","","1",""
"10","1040004519","bolt","2","GB/T5783"
"11","1990202279","Turbine  shaft  clamp","18",""
"12","00773607100401060  Fuel  pipe  ÿ","","1",""
"13","00773607100401120  Fuel  pipe  VI","","1",""
"14","00773607100401080  Fuel  pipe  IV","","1",""
"15","00773607100401070  Fuel  pipe  ÿ","","1",""
"16","00773407140401090  Tee  connector","","1",""
"17","00773607100401030  Fuel  pipe  ÿ","","1",""
"18","00773407140401060  Fuel  pipe  ÿ","","1",""
"19","00773407100401060  Hollow  bolt","","2",""
"20","1081000673","Combined  sealing  gasket","4",""
"twenty  one","00773407100401050  Connector  II  Plastic","","2",""
"twenty  two","1990200692","coated  strip","5",""
"twenty  three","1040201896","Nuts","2","GB/T889.1"
"twenty  four","1000400478","Oil-water  separator","1",""
"25","00773607100401020  Fuel  pipe  ÿ  bolt","","1",""
"26","1040002434","","4","GB/T5783"
"27","1040200503","Nuts","10","GB/T889.1"
"28","1040302480","washer","4","GB/T96.1"
"29","1040302512","washer","4","GB/T96.1"
"30","00773607100401040  Fuel  pipe  VIII","","1",""
"31","00773607100401050  Fuel  pipe  ÿ","","1",""
"32","00773607100401010  Fuel  tank  assembly","","1",""
