"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","1140101476","Right  angle  combination  connector","6",""
"2","1140114647","Straight-through  extension  connector","2",""
"3","1140101941","Straight  end  connector","3",""
"4","1149902022","Straight-through  extension  connector","1",""
"5","1010307824","Main  valve","1",""
"6","1040302480","Washer  8","4","GB/T96.1"
"7","1040004517","Bolt  M8×16-8.8","4","GB/T578"
"8","1140114187","Pressure  test  connector","1",""
"9","1140101477","Straight  end  connector","4",""
"10","1140101478","Right  angle  combination  connector","2",""
"11","1149901685","Straight-through  extension  connector","1",""
"12","1140103282","Butt-jointed  reducer","1",""
"13","1140114451","45  degree  combination  joint","1",""
"14","1140101462","Straight  end  connector","3",""
"15","1140101464","Straight  end  connector","1",""
