"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","1040101492","Screw  M10×25-8.8","2","GB/T70.1"
"2","1040301502","Washer  10","2","GB/T93"
"3","1010601341","Return  oil  filter","1",""
"4","1140101628","Plug","1",""
"5","1040005852","Bolt  M12×20-8.8","4","GB/T5787"
"6","1140103362","Straight  end  connector","2",""
"7","1140101466","Straight  end  connector","1",""
"8","1140114040","Straight  end  connector","1",""
"9","1019901354","Liquid  level  and  temperature  gauge","1",""
"","10  00773605200210000  Fuel  tank","","1",""
"11","00773405200230000  Sealing  plate","","1",""
"12","00773405200220001  Window  cover","","1",""
"13","1040301510","Washer  8","8","GB/T93"
"14","1040103111","Screw  M8×16-8.8","8","GB/T70.1"
"15","1010500489","Air  Filter","1",""
"16","1140113717","Straight  end  connector","1",""
