"Item","Part No.","Description","Qty."
"1","00000620","Washer  GB/T 97.1  6","3"
"2","00001033","Nut  GB/T 6182  M6","3"
"3","00001034","Screw  GB/T 70.1  M6×25","3"
"4","00004883","Beacon","1"
"5","50001583","Clamp","2"
"6","10002737","Air cleaner cap mounting weldment","1"
"7","00000615","Washer  GB/T 97.1  10","23"
"8","00000683","Bolt  GB/T 5783  M10×30","4"
"9","10002733","Air cleaner cap","1"
"10","10025954","Cover","1"
"11","10025953","Cover","1"
"12","10025806","Cover","1"
"13","00000838","Screw  GB/T 70.3  M8×25","3"
"14","00000608","Washer  GB/T 97.1  8","23"
"15","00001163","Nut  GB/T 6182  M8","11"
"16","00000993","Bolt  GB/T 5783  M8×25","6"
"17","00001061","Screw  GB/T 70.1  M8×20","8"
"18","93300432","Block","4"
"19","10025950","Bumper bracket","1"
"20","00000679","Washer  GB/T 93  10","15"
"21","10025952","Roller","1"
"22","00000847","Screw  GB/T 70.3  M10×30","2"
"23","00000623","Nut  GB/T 6182  M10","10"
"24","00001059","Screw  GB/T 70.1  M10×30","2"
"25","10002693","Spacer","1"
"26","00001257","Nut  GB/T 6182  M16","1"
"27","10002696","Washer","1"
"28","","Engine assembly (Kubota) (refer to 112.1, 114.1, 115.1)","1"
"","","Engine assembly (Perkins) (refer to 112.2, 114.2, 115.2)","1"
