"Item","Part No.","Description","Qty."
"1","10025895","Frame weldment","1"
"2","00000743","Bolt  GB/T 5783  M6×20","1"
"3","00000621","Washer  GB/T 93  6","29"
"4","00000620","Washer  GB/T 97.1  6","1"
"5","10002979","Ground strap","1"
"6","00002120","Tee fitting","4"
"7","00002137","Straight fitting","4"
"8","00001239","Tee fitting","2"
"9","10027052","Tilt sensor cover","1"
"10","00003962","Tilt sensor","1"
"11","00001246","Screw  GB/T 70  M5×16","6"
"12","00000606","Washer  GB/T 93  5","10"
"13","00000605","Washer  GB/T 97.1  5","6"
"14","00002136","Straight fitting","2"
"15","00002119","Tee fitting","2"
"16","10003263","Block","2"
"17","00002354","Limit switch","1"
"18","10025329","Switch bracket","1"
"19","00003545","Washer  GB/T 96.1  5","4"
"20","00001252","Screw  GB/T 70.1  M5×12","4"
"21","00002000","Washer  GB/T 96.1  8","2"
"22","00000609","Washer  GB/T 93  8","2"
"23","00001063","Bolt  GB/T 5783  M8×16","2"
"24","10024906","Cover","1"
"25","10024909","Cover","1"
"26","10024913","Cover","1"
"27","10024910","Cover","1"
"28","00002029","Screw  GB/T 70.1  M6×12","28"
"29","00002583","Washer  GB/T 96.1  6","28"
