"Item","Part No.","Description","Qty."
"1","00000608","Washer  GB/T 97.1  8","9"
"2","00000609","Washer  GB/T 93  8","5"
"3","00001063","Bolt  GB/T 5783  M8×16","1"
"4","00002212","Horn","1"
"5","00000620","Washer  GB/T 97.1  6","2"
"6","00000621","Washer  GB/T 93  6","2"
"7","00000818","Bolt  GB/T 5783  M6×16","2"
"8","00004438","Alarm","1"
"9","00004883","Beacon","1"
"10","00001034","Screw  GB/T 70.1  M6×25","3"
"11","00001033","Nut  GB/T 6182  M6","3"
"12","","Ground control box assembly (refer to 107.1)","1"
"13","00000623","Nut  GB/T 6182  M10","11"
"14","00001028","Washer  GB/T 96.1  10","18"
"15","00000683","Bolt  GB/T 5783  M10×30","11"
"16","93300432","Block","4"
"17","00001061","Screw  GB/T 70.1  M8×20","8"
"18","00002000","Washer  GB/T 96.1  8","4"
"19","00000875","Bolt  GB/T 5783  M8×20","4"
"20","50003005","Bracket","2"
"21","","Fuel tank assembly (refer to 108.1)","1"
"22","00002074","150A  Fuse assembly","1"
"23","00001003","Screw  GB/T 973  M4×12","2"
"24","00000615","Washer  GB/T 97.1  10","4"
"25","","Hydraulic tank assembly (refer to 109.1)","1"
