"Item","Part No.","Description","Qty."
"1","00007087","Hose assembly","1"
"2","00010230","Hose assembly","1"
"3","00010840","Hose assembly","1"
"4","00010841","Hose assembly","1"
"5","00010512","Hose assembly","2"
"6","00010513","Hose assembly","1"
"7","00010514","Hose assembly","1"
"8","00010515","Hose assembly","1"
"9","00010516","Hose assembly","1"
"10","00010842","Hose assembly","1"
"11","00010843","Hose assembly","1"
"12","00004175","Hose assembly","2"
"13","00004176","Hose assembly","2"
"14","00004177","Hose assembly (JCPT1823RTL)","2"
"15","00004202","Hose assembly","1"
"16","00010844","Hose assembly","1"
"17","00010342","Hose assembly","1"
"18","00002287","Hose assembly","1"
"19","00010517","Hose assembly","2"
"20","00010518","Hose assembly","2"
"21","00010574","Hose assembly","2"
"22","00007058","Hose assembly","1"
"23","00010575","Hose assembly","1"
"24","00001291","Straight fitting","2"
"25","00010835","Straight fitting","2"
"26","00002071","Straight fitting","6"
"27","00001501","Straight fitting","1"
"28","00009850","Straight fitting","3"
"29","00001506","Straight fitting","1"
