"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771500300000000","Стрела в сборе","1",""
"2","00771500701200000","Длинная стальная буксирная цепь","1",""
"3","00771500700400000","Тяговая труба с длинной цепью","1",""
"4","00771500701400000","Короткая стальная буксирная 
цепь","1",""
"5","00771500700600000","Тяговая труба с короткой цепью","1",""
"6","00771500700001150","Хомут шланга","1",""
"7","00771500700001160","Нижний хомут шланга","1",""
"8","00771500700001130","Нижняя крышка желобка II","1",""
"9","00771500700001120","Верхняя крышка желобка II","1",""
"10","00771500700200000","Держатель длинной цепи","3",""
"11","00771500700001030","Нижняя крышка желобка","2",""
"12","00771500700001020","Нижний хомут стальной трубы","3",""
"13","00771500700001010","Хомут стальной трубы","3",""
"14","00771500700001060","Верхняя крышка желобка 
проводов","2",""
"15","00771500700001140","Нижняя крышка желобка III","1",""
"16","00771500700001100","Верхняя крышка желобка 
проводов","1",""
"17","00771500700001210","Нижний трубный хомут","1",""
"18","00771500700001220","Верхний трубный хомут","1",""
"19","1040002434","Болт M10×25-8.8","8","JB/T5783-2000"
"20","00771500700300000","Держатель длинной цепи I","1",""
"21","00771500700001050","Хомут трубопровода","8",""
"22","00771400710001020","Прижимная планка","4",""
"23","1040004656","Болт M10×65-8.8","4","JB/T5782-2000"
"24","00771600700001080","Регулировочная шайба","1",""
"25","00771500700800000","Кронштейн труб","1",""
"26","00771600700001100","Опорная плита трубного хомута","1",""
"27","00771500701000000","Вращающийся кронштейн","1",""
"28","00771400700001010","Шайба","4",""
"29","00771500700001200","Ползун","2",""
"30","00771500700001040","Неподвижная опора","2",""
