"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771400210400000","Нижний шатун","2",""
"2","00771400210001140","Самосмазывающийся подшипник IV","4",""
"3","00771400210001170","Втулка цилиндра подъема вылета 
маховой стрелы II","1",""
"4","00771400211000000","Цилиндр подъема вылета","1",""
"5","00771400210001060","Нижний штырь опоры","1",""
"6","1040103116","Винт M8×75","8","GB/T70.1-2000"
"7","1040200503","Шестигранная контргайка M8","8","GB/T889.1-201
5"
"8","00771400210001010","Штырь нижнего шатуна","1",""
"9","00771400210001050","Верхний штырь опоры","1",""
"10","00771400210001190","Трубопроводная коробка маховой стрелы","1",""
"11","00771400210600000","Опора","1",""
"12","00771400210001040","Задний штырь верхнего шатуна","2",""
"13","00771400211200000","Подвижный трубный хомут","2",""
"14","1040004590","Болт M8×14-8,8","4","JB/T5783-2000"
"15","00771400210001180","Стопорный штифт","2",""
"16","1040302490","Шайба 12","2","GB/T97.1-2002"
"17","1040004511","Болт M12×30","1","JB/T5783-2000"
"18","00771400210200000","Верхний шатун","1",""
"19","00771400210001200","Нижняя скоба трубопровода маховой 
стрелы","2",""
"20","00771400210001210","Верхняя скоба трубопровода маховой 
стрелы","2",""
"21","00771400210001220","Винт маховой стрелы I","4",""
"22","1040301515","Шайба 8-200HV","4","GB/T97.1-2002"
"23","1040201089","Гайка M10","4",""
"24","1040103111","Винт M8×16-8.8","2","GB/T70.1-2000"
"25","00771400200001200","Защитная коробка датчика","1",""
"26","00771400210001110","Самосмазывающийся подшипник I","2",""
"27","1010201527","Качающийся цилиндр","1",""
"28","00771400210001080","Распорная втулка качающегося цилиндра","1",""
