"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040002435","Болт M10×35-8.8","4","JB/T5783-2000"
"2","1040302489","Шайба 10","54",""
"3","00771500301001070","Прижимная планка","2",""
"4","00771500300400000","2-я секция стрелы","1",""
"5","00771100301310000","Ползун","10",""
"6","00771400301401080","Регулировочная шайба IV","16",""
"7","00773400300001140","Регулировочная шайба Ⅴ","12",""
"8","1040002433","Болт M10×20-8.8","18","JB/T5783-2000"
"9","00771600301490000","Ползун","2",""
"10","00771500301401030","Регулировочная шайба","4",""
"11","00771600301401050","Регулировочная шайба","4",""
"12","1040004565","Болт M10×30-8,8-DKL","6","JB/T5783-2016"
"13","1040002434","Болт M10×25-8.8","14","JB/T5783-2000"
"14","00771500301630000","Ползун","2",""
"15","00771500301430000","Ползун","1",""
"16","00771600301410000","Верхняя пылезащитная щетка","1",""
"17","00771600301420000","Боковая пылезащитная щетка","2",""
"18","00771500301001040","Стальной трос втягивающей","2",""
"19","1040200161","башенной стрелы","2","JB/T889-1986"
"20","1040201382","Гайка M16 -8","2","JB/T6170-2000"
"21","1040302492","Шайба 16","2","GB/T97.1-2002"
"22","1040004511","Болт M12×30-8,8","4","JB/T5783-2000"
"23","1040302490","Шайба 12","8","GB/T97.1-2002"
"24","00771600301001430","Соединительная плита","4",""
"25","1040200113","Гайка M10-8","8","JB/T6170-2000"
"26","00771600301001410","Защитная плита стального троса","2",""
"27","00771600301110000","Сварной элемент направляющего","2",""
"28","1040004508","Болт M10×45-8.8","8","JB/T5783-2000"
"29","00771500301001030","Стальной трос выдвигающей","4",""
"30","1040201381","башенной стрелы","4","JB/T6170-2000"
"31","1040200507","Гайка M12-8","4","GB/T889.1-2000"
"32","00771500301401010","Триггерная планка путевого","1",""
"33","00771500301401020","Триггерная планка путевого","1",""
"34","1040302487","выключателя ⅠⅠ","9","GB/T97.1-2002"
"35","1040004552","Болт M6×15-8,8","9","JB/T5783-2000"
