"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771407120601180","Пластина II","2",""
"2","00771407120601170","Планка I","2",""
"3","00771507100601050","Ветроотбойник","1",""
"4","00771407120601140","Гнутая пластина IV","2",""
"5","00771407120601190","Планка III","2",""
"6","1040004619","Болт M8×35-8,8","2","JB/T5783-2000"
"7","1040004517","Болт M8×16-8,8","1","JB/T5783-2000"
"8","00771407120601110","Гнутая пластина I","2",""
"9","1000300735","Расширительный бак","1",""
"10","1040004619","Гайка M8-8","4","GB/T889.1-2000"
"11","1000300776","Радиатор в сборе","1",""
"12","1990202279","Хомут спирального червяка","4",""
"13","00771607120601050","Паровой рукав I","1",""
"14","00771607120601060","Паровой рукав II","1",""
"15","00771407120601020","Шланг II","1",""
"16","1000300809","Вентилятор в сборе","1",""
"17","00771607120601040","Труба подпиточной воды","1",""
"18","1040002435","Болт M10×35-8.8","4","JB/T5783-2000"
"19","00771407120601080","Прокладка вентилятора","1",""
"20","1040200504","Гайка M10-8","4","GB/T889.1-2000"
"21","1040302489","Шайба 10-200HV","8","GB/T97.1-2002"
"22","1040004508","Болт M10×45-8.8","4","JB/T5783-2000"
"23","00771407120601100","Соединитель шланга II","1",""
"24","00771407120601010","Обратный водовод","1",""
"25","1990202288","Хомут спирального червяка","3",""
"26","1990202282","Хомут спирального червяка","2",""
"27","00771407120601090","Соединитель шланга I","1",""
"28","1990202287","Хомут спирального червяка","3",""
"29","00771407100601170","Подкладка","6",""
"30","1040002262","Болт M12×55-10,9","4","JB/T5783-2000"
"31","1040301031","Шайба 12-300HV","4","GB/T96.1-2002"
"32","1040200507","Гайка M12-8","4","GB/T889.1-2000"
"33","00771407120601120","Гнутая пластина II","1",""
