"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771502810001030","Плита Q345B","1",""
"2","1040004519","Болт M8×25-8,8","4","JB/T5783-2000"
"3","1040301510","Шайба 8","8","JB/T93-1987"
"4","1040301515","Шайба 8-200HV","8","GB/T97.1-2002"
"5","1019807528","Клапан ходового управления","1",""
"6","00771405200601010","Блок возврата масла","1",""
"7","1040004518","Болт M8×20-8,8","4","JB/T5783-2000"
"8","1040201884","Гайка M24-8","8","JB/T6170-2000"
"9","1040301511","Шайба 24-200HV","8","GB/T97.1-2002"
"10","1040302483","Шайба 24-200HV","8","GB/T96.1-2002"
"11","00771502810400000","Противовес из листовой стали II","1",""
"12","00771502810200000","Противовес из листовой стали I","1",""
