"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771506200230010","Пучок кабеля поворотной
платформы","0",""
"2","/","Клапан заднего хода","/",""
"3","/","Клапана переднего хода","/",""
"4","1020305006","Контактор постоянного тока
предварительного нагрева","1",""
"5","/","Контактор постоянного тока
предварительного нагрева","0",""
"6","/","Разъем диагностики двигателя","/",""
"7","/","Реле пускового мотора","1",""
"8","/","Уровень охлаждающей жидкости","",""
"9","/","Сигнализация засорения
воздушного фильтра","/",""
"10","/","Возбуждение двигателя","/",""
"11","1020700540","Оконечное сопротивление","1",""
"12","/","Вставка ЭБУ","/",""
