"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771500300600000","Стрела третьей секции","1",""
"2","00771100301310000","Ползун","10",""
"3","00773400300001140","Регулировочная шайба Ⅴ","12",""
"4","00771400301401080","Регулировочная шайба IV","16",""
"5","1040302489","Шайба 10","56",""
"6","1040002433","Болт M10×20-8.8","12","JB/T5783-2000"
"7","00771600301640000","Ползун","2",""
"8","00771500301601010","Регулировочная шайба Ⅵ","2",""
"9","00771500301601020","Регулировочная шайба","4",""
"10","1040004565","Болт M10×30-8,8-DKL","6","JB/T5783-2016"
"11","1040102761","Винт M10×20-8,8","4","GB/T70.1-2000"
"12","1040002434","Болт M10×25-8.8","8","JB/T5783-2000"
"13","00771500301630000","Ползун","2",""
"14","00771600301610000","Верхняя пылезащитная щетка","1",""
"15","00771600301420000","Боковая пылезащитная щетка","2",""
"16","00771500301001220","Прокладка","2",""
"17","00771500301001180","Подшипник, не требующий 
смазки","2",""
"18","00771500301190000","Шкив выдвигающей башенной 
стрелы","1",""
"19","00771500301140000","Штифт","1",""
"20","1040004565","Болт M10×30-8,8-DKL","1","JB/T5783-2016"
"21","1040302489","Шайба 10-200HV","7","GB/T97.1-2002"
"22","1040004595","Болт M10×180-8.8","3","JB/T5782-2000"
"23","00771600301001060","Защитная планка Ⅱ шкива 
выдвижной стрелы","2",""
"24","1040200113","Гайка M10-8","3","JB/T6170-2000"
"25","1040002435","Болт M10×35-8.8","6","JB/T5783-2000"
"26","00771500301640000","Ползун","2",""
"27","1040300771","Шайба 6","9","GB/T97.1-2002"
"28","1040002555","Болт M10×16-A2-70","9","JB/T5783-2000"
