"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004678","Болт для ограничителя
открывания двери M10×70","1",""
"2","1040200504","Гайка M10","2","GB/T889.1-2000"
"3","00771401000001020","Пластина","1","Q235B"
"4","1040302489","Шайба 10-200HV","2","GB/T97.1-2002"
"5","1040002433","Болт M10×20-8.8","2","JB/T5783-2000"
"6","1040006291","Болт M10×60-8,8","2","JB/T5783-2000"
"7","1040301514","Шайба 6-200HV","2","GB/T97.1-2002"
"8","00771401000001050","Опора предупредительной лампы","1","Q235B"
"9","00771501000001010","Противовес (конструкция)","1","GB/T889.1-2000"
"10","1040302483","Шайба 24-200HV","6","GB/T96.1-2002"
"11","1040301521","Шайба 24","6","JB/T1230-1991"
"12","1040004530","Болт M24×70-10,9","","JB/T1228-1991"
