"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00773407000201061","Этикетка-зарядите согласно
инструкции 160×80","2",""
"2","00773407000601071","Опасность- - опасность
поражения электрическим
током.160×80","4",""
"3","00773407000601081","Этикетка - инструкция по
наземному управлению 240 × 80","1",""
"5","00773407000601151","Внимание - отключите
аккумулятор 60 × 80","1",""
"6","00773407000601511","Внимание-Запустите при низкой
температуре×80","1",""
"7","00773407000601171","Опасность-Контакт запрещен
60×80","1",""
"11","00773407000601211","Опасность-Опасность
раздавливания160×80","2",""
"14","00773407000201241","Этикетка- подъем запрещен45×60","6",""
"15","00773407000601251","Этикетка - Стопорный штифт
установлен при транспортировке
120×80","1",""
"16","00771507000601210","Маркировка капота ZT30J в
сборе 750×270","1",""
"17","00773407000601271","Предупреждение - промывка
водой под высоким давлением
запрещена 160 × 80","2",""
"18","00771407000601151","Этикетка - Коробка дизельного
топлива 160×80","2",""
"20","00773407000601561","Опасность- - опасность
опрокидывания шин 120×60","4",""
"21","00773407000601371","Опасность-Взрывоопасность I 60
× 80","2",""
"22","00773407000601381","Опасность-Взрывоопасность II
60 × 80","1",""
"26","00773407000201421","Этикетка-обвязка45×60","8",""
