"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"44","00771601103200000","Регулирующая плита
право-переднего капота","3",""
"45","1040004518","Болт M8×20-8,8","4","JB/T5783-2000"
"46","00771601103600000","Опора","1",""
"47","1040301515","Шайба 8-200HV","2","GB/T97.1-2002"
"48","00771501100001010","Изогнутая плита Tp5","1",""
"49","00771101103001020","Губка изоляции T6","1",""
"50","1109800044","Языковой замок YKGS282SS","2",""
"51","00771601103001010","Дверное полотно Tp2","1",""
"52","1040202307","Гайка M8-A2-70","5","JB/T6170-2015"
"53","1040302861","Шайба 8","5","GB/T97.1-2002"
"54","1040103077","Бочкообразный винт с крестовым
шлицем M8×16","5","JB/T818-2000"
"55","1101000152","Шарнир CCM-Z165","1",""
"56","00771601100200000","Сварка право-переднего капота","1",""
"57","00771601100800000","Сварка право-заднего капота","1",""
"58","00771101103201020","Губка изоляции T6","1",""
"59","00771101100001020","Монтажная плита цилиндра
замка Tp6","1",""
"60","00771101103201010","Плита Tp2","1",""
"61","1040201772","Гайка M4-A2-70","8","JB/T6170-2000"
"62","1040302410","Шайба 4-200HV","8","GB/T97.1-2002"
"63","1029903782","Бочкообразный винт с крестовым
шлицем M4×12","8","JB/T818-2000"
"64","1999905631","Петля LC254-1","1",""
"65","1040200113","Гайка M10-8","4","JB/T6170-2000"
"66","00771401110001030","Нажимная плита Tp10","4",""
"67","00771601101600000","Опора для установки
право-заднего капота","1",""
"68","00771501100001020","Уплотняющая плитаTp2","1",""
"69","00771501100001090","Дождевой щиток Tp2","1",""
"70","00771601100001060","Уплотняющая плита Tp2","1",""
"71","00771601100001050","Уплотняющая плита Tp2","1",""
