"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"31","1040302489","Шайба 10-200HV","52","GB/T97.1-2002"
"32","1040103114","Винт M8×45-8.8","10","GB/T70.1-2000"
"33","1040000135","Болт M8×55-8,8","16","JB/T5783-2000"
"34","1040103375","Винт M10×30-8,8","16","GB/T70.2-2000"
"35","1040200504","Гайка M10-8","24","GB/T889.1-2000"
"36","1040101995","Винт M10×30-8.8-DKL","4","GB/T70.1-2000"
"37","1040200503","Гайка M8-8","18","GB/T889.1-2000"
"38","1040004565","Болт M10×30-8,8-DKL","4","JB/T5782-2000"
"39","1040301502","Шайба 10","12","JB/T93-1987"
"40","1040103115","Винт M8×65-8.8","7","GB/T70.1-2000"
"41","1040301515","Шайба 8-200HV","11","GB/T97.1-2002"
"42","1040102648","Винт M6×25-A2-70","6","GB/T70.2-2000"
"43","00771600700001130","Прижимная планка","2",""
"44","00771500700001070","Хомут трубопровода","4",""
"45","1040102738","Винт M8×55-8.8","5","GB/T70.1-2000"
