"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","0077150620022000030","Электрический шкаф управления
поворотной платформой","1",""
"2","0077150620022001000
30","-X115（шкаф электрического
управления поворотной
платформы в сборе 3）","0",""
"3","0077150620022001000","-X113（шкаф электрического
управления поворотной
платформы в сборе 2）","0",""
"4","0077150620022001000","-X111（шкаф электрического
управления поворотной
платформы в сборе 1）","0",""
"5","/","Уровень топлива","/",""
"6","/","Двухскоростный клапан","/",""
"7","/","Тормозной клапан","/",""
"8","/","Плавающий клапан управления","/",""
"9","/","Переднее колесо повернуть
направо","/",""
"10","/","Поворот влево поворотной
платформы","/",""
"11","/","Клапан подъема кронштейн
стрелы","/",""
"12","/","Клапан выдвижения кронштейн
стрелы","/",""
"13","/","Расходный клапан вращения
поворотной платформы","/",""
"14","/","Расходный клапан
кронштейна
стрелы","/",""
"15","/","Расходный клапан выдвижения и
втягивания кронштейна стрелы","/",""
"16","/","Расходный клапан
маховой
стрелы","/",""
