"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004518","Болт M8×20","1","JB/T5783-2000"
"2","1040301515","Прокладка Tp2","1","GB/T97.1-2002"
"3","00771400300861020","Крышка","1",""
"4","00771400301601020","Подшипник, не требующий 
смазки","2",""
"5","00771400301001010","Прокладочное кольцо","1",""
"6","00771400301010000","Выравнивающий цилиндр","1",""
"7","00771400301801010","Штифт","1",""
"8","00771500300600000","Сварной элемент стрелы третьей 
секции","1",""
"9","00771400210001050","Верхний штырь опоры","1",""
"10","00771400210001180","Стопорный штифт","1",""
"11","1040302489","Шайба 10-200HV","1","GB/T97.1-2002"
"12","1040004511","Болт M12×30","1","JB/T5783-2000"
"13","00771400301601020","Подшипник, не требующий 
смазки","2",""
"14","1040200503","Гайка M8","2","GB/T889.1-2015"
"15","00771400210001060","Нижний штырь опоры","1",""
"16","1040103116","Винт M8×75","2","GB/T70.1-2000"
"17","00771400301601020","Подшипник, не требующий 
смазки","2",""
"18","00771400301001020","Прокладочное кольцо","1",""
"19","00771400210000000","Консоль","1",""
