"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00773407000601061","Заправьте по инструкции 160 × 80","2",""
"2","00773407000601071","Риск поражения электрическим
током 160 × 80","4",""
"9","00773407000601191","Опасность раздавливания 160 × 80","2",""
"12","00773407000601491","Знак высокого уровня масла 100 ×
60","1",""
"18","00771407000601151","Топливный бак 160 × 80","2",""
"19","00773407000601321","Опасность раздавливания 160 × 80","2",""
"21","00773407000601371","Взрывоопасность I 60 × 80","2",""
"23","00773407000601391","Внимание. Храните руководство по
эксплуатации 160×60","1",""
"24","00771507000601220","Маркировка платформы ZT30J в
сборе 630 ×270","1",""
"25","00773407000201411","Точка крепления страховочного
троса 50×20","6",""
"26","00773407000201421","Точка привязки 45 × 60","8",""
"27","00773407000201431","Точка подъема 45 × 60","4",""
"28","00773407000601221","Описание индикатора
платформы480×40","1",""
"31","00773407000201481","Знак низкого уровня масла 100 × 60","1",""
"32","00771407000601021","Этикетка, колесная нагрузка 100 ×
60","4",""
"35","00771407000601161","Гидробак 160 × 80","1",""
"36","00773407000601141","Индикация блока управления
рабочей платформы360×60","1",""
"42","00771407000201130","Этикетка ZOOMLION 1600×200","2",""
"43","00771507000201030","Этикетка с моделью- ZT30J
845×200","1",""
"44","00773407000201010","Этикетка ZOOMLION 560×70","1",""
