"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040200503","Гайка M8-8","8","GB/T889.1-2000"
"2","1040302480","Шайба 8-200HV","4","GB/T96.1-2002"
"3","00773607100401010","Бак топлива в сборе","1",""
"4","1040302512","Шайба 10-200HV","4","GB/T96.1-2002"
"5","1040002434","Болт M10×25-8.8","4","JB/T5783-2000"
"6","1040005844","Болт M6×10-A2-70","5","JB/T5783-2000"
"7","1040300771","Шайба 6-200HV","5","GB/T97.1-2002"
"8","1990200692","Резиновая лента с пластическим
покрытием","5",""
"9","00771507100401010","Труба топлива Ⅰ","1",""
"10","00771507100401040","Труба топлива Ⅳ","1",""
"11","1040002458","Болт M8×40-8,8","2","JB/T5783-2000"
"12","1081000673","Сложная уплотнительная шайба","4",""
"13","00773407100401050","Штуцер II","2",""
"14","00773407100401060","Болт пустотелый М16 × 1,5 × 35","2",""
"15","00771607120401030","Труба топлива Ⅱ","1",""
"16","1140114594","Быстросъемная муфта","2",""
"17","00771507100401030","Труба топлива Ⅲ","1",""
"18","1040301515","Шайба 8-200HV","7","GB/T97.1-2002"
"19","1040004619","Болт M8×35-8,8","2","JB/T5783-2000"
"20","1140114596","Быстросъемная муфта","1",""
"21","1990202279","Хомут спирального червяка","8",""
"22","1140114593","Быстросъемная муфта","1",""
"23","00771607120401010","Гнутая пластина","1",""
"24","1040004518","Болт M8×20-8,8","3","JB/T5783-2000"
