"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"17","/","Переднее колесо повернуть
налево","/",""
"18","/","Поворот вправо поворотной
платформы","/",""
"19","/","Клапан опускания кронштейна
стрелы","/",""
"20","/","Клапан втягивания кронштейна
стрелы","/",""
"21","1021404019","Датчик наклона кузова","1",""
"22","1029906298","Концевой выключатель угла
поворотной платформы","1",""
"23","/","Общественно","/",""
"24","/","Положительный полюс
аккумулятора","/",""
"25","/","Реле насоса вспомогательной
силовой установки","/",""
"26","/","Водомаслоотделитель","/",""
"27","00771506200230020","Пучок кабелей ECU","1",""
"28","1020304982","Аварийный зуммер","1",""
"29","/","Радиатор","/",""
"30","00771506200230060","Пучок кабеля стрелы","/",""
"31","/","Светильник зарезервирован","/",""
"32","1020404399","Тревожная лампа","1",""
"33","00771506200240010","Реконструируется из кабеля
буксирной цепи","/",""
"34","1020202125","GPS","1",""
