"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"2","00773407000601071","Риск поражения электрическим
током 160 × 80","4",""
"4","00773407010601031","Позиция опирания руками 80×20","2",""
"8","00773407000601181","Не наступать на 80 × 80","4",""
"10","00773407000601201","Опирание руками или привязка
троса запрещены 160 × 20","3",""
"11","00773407000601211","Опасность раздавливания 160 ×
80","2",""
"13","00773407000601231","Опасность отказа педали 100 × 80","1",""
"30","00773407000601471","Опасность - опасность ожога 160
× 80","2",""
"32","00771407000601021","Этикетка - нагрузка колеса
100×60","4",""
"37","00771407000201080","Синяя стрелка 210 × 180","3",""
"38","00771407000201090","Желтая стрелка210×180","3",""
"39","00771407000201100","Желтый треугольник 90 × 180","2",""
"40","00771407000201110","Синий треугольник 90 × 180","2",""
"46","00773407000201050","Этикетка Zoomlion 1063 × 180","1",""
