"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771500301001020","Стальной трос втягивающей 
верхней стрелы","2",""
"2","00771500301020000","Шкив втягивающей верхней 
стрелы","2",""
"3","00771500301001220","Прокладка 40","6",""
"4","00771500301150000","Штифт","2",""
"5","1040002433","Болт M10×20-8,8","2","JB/T5783-2000"
"6","1040302489","Шайба 10","26","GB/T97.1-2002"
"7","00771500301001050","Защитная планка шкива 
втягивающей верхней стрелы","2",""
"8","1040004535","Болт M10×60-8.8","4","JB/T5782-2000"
"9","1040004593","Болт M10×55-8,8","4","JB/T5782-2000"
"10","1040301511","Шайба 24-200HV","2","GB/T97.1-2002"
"11","00771600301001220","Монтажная планка датчика","2",""
"12","1040201092","Гайка M24 -10","2","JB/T6170-2000"
"13","1040201111","Гайка M24 -10","2","JB/T889-1986"
"14","1040002434","Болт M10×25-8.8","4","JB/T5783-2000"
"15","00771500301170000","Штифт","2",""
"16","00771500301001230","Прокладка 32","4",""
"17","00771500301001090","Защитная планка шкива 
втягивающей башенной стрелы","1",""
"18","00771500301060000","Шкив втягивающей башенной 
стрелы","2",""
"19","1040101995","Винт M10×30-8.8-DKL","4","GB/T70.1-2000"
"20","00771500301001110","Защитная планка шкива 
втягивающей башенной стрелы Ⅱ","1",""
"21","00771500301001160","Подшипник, не требующий 
смазки","2",""
"22","00771500301001040","Стальной трос втягивающей 
башенной стрелы","2",""
"23","1040002442","Болт M12×70-8,8","3","JB/T5783-2000"
"24","00771600301001230","Направляющий стержень","2",""
"25","00771600301001320","Пружина","2",""
"26","1040004512","Болт M12×60-8,8","2","JB/T5783-2000"
