"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1040004029","Болт M12×35-10,9","4","JB/T5783-2000"
"2","1040302490","Шайба 12-200HV","4","GB/T97.1-2002"
"3","1140107814","Прямой соединитель","1","GE08L7/16UNFOMDCF"
"4","1149901792","Прямой соединитель","1","GEO28LMOMDCF"
"5","1010001790","Ходовой насос","1",""
"6","1140113942","Прямой соединитель","2","GEO12LM14/1.5OMDCF"
"7","1140101479","Прямоугольный 
композитный штуцер","1","EW18LOMDCF"
"8","1140113706","Прямой соединитель","1","GEO18LM27X2OMDCF"
"9","1149901794","Прямой соединитель","2","GEO20SM33/2OMDCF"
"10","1140105246","Прямой соединитель","1","GE15L7/8UNFOMDCF"
"11","1010001791","Основный насос","1",""
