"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771500800200000","Конструкция поворотной платформы","1",""
"2","1040002458","Болт M8×40-8.8","2","JB/T5783-2000"
"3","00771600800001100","Трубной хомутITp13*","2",""
"4","00771600800001160","Соединительная плита панели заглушки
ITp5","2",""
"5","1040004507","Болт M10×40-8.8","2","JB/T5783-2000"
"6","00771500800001010","Изогнутая пластинкаTp10","1",""
"7","1040302512","Шайба 10-200HV","2","GB/T96.1-2002"
"8","1040302513","Шайба 16-200HV","1","GB/T96.1-2002"
"9","00771500800001030","Панель заглушкиTp2","1",""
"10","1040301610","Шайба 6","8","JB/T93-1987"
"11","1040002445","Болт M16×35-8.8","1","JB/T5783-2000"
"12","00771600800001030","Штырьφ80*","1",""
"13","00771600800001110","Прокладка Tp3","2",""
"14","1040201875","Гайка M10-8","4","GB/T889.1-2000"
"15","00771400800001110","Регулировочная шайба Tp1","10",""
"16","00771400800001100","ПрокладкаT28*","1",""
"17","1040004508","Болт M10×45-8.8","2","JB/T5783-2000"
"18","00771600800001070","ШтырьIIφ80*","1",""
"19","00771500800001080","Стопорный штифтφ20×120*","1",""
"20","1040004499","Болт M20×45-8.8","2","JB/T5783-2000"
"21","00771600800001060","Распорная втулкаIIOw88×3*","1",""
"22","00771600800001010","Подшипник, не требующий смазкиO90×5","4",""
"23","00773400400001170","Стопорный штифтφ20×120*","1",""
"24","00773400300001200","Стопорный штифтφ10×80","1",""
"25","00771400800001030","Штырьφ32*","1",""
"26","00771400801800000","Штифт в сборе","1",""
"27","00771400800001020","Самосмазывающийся подшипникO40×4×40","2",""
"28","00773400800001150","Накладка колодкиT6*","1",""
"29","1040004517","Болт M8×16-8.8","6","JB/T5783-2000"
"30","00771600800001050","Опора для установки насоса аварийного
двигателяTp5","1",""
"31","00771600800001180","Соединительная плита панели заглушки
IIITp5","1",""
"32","1040301515","Шайба 8-200HV","18","GB/T97.1-2002"
