"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771500300800000","Четырехсекционная стрела","1",""
"2","00771100301310000","Ползун","4",""
"3","00771400301401080","Регулировочная шайба IV","8",""
"4","00773400300001140","Регулировочная шайба Ⅴ","4",""
"5","1040302489","Шайба 10","22","GB/T97.1-2002"
"6","1040002433","Болт M10×20-8.8","8","JB/T5783-2000"
"7","00771600301640000","Ползун","2",""
"8","00771500301601010","Регулировочная шайба Ⅵ","2",""
"9","00771500301601020","Регулировочная шайба","4",""
"10","1040002434","Болт M10×25-8.8","6","JB/T5783-2000"
"11","1040002435","Болт M10×35-8.8","4","JB/T5783-2000"
"12","00771500301820000","Ползун","2",""
"13","00771100301601050","Защитная планка","1",""
"14","1040301515","Шайба 8","2","GB/T97.1-2002"
"15","1040004517","Болт M8×16-8,8","2","JB/T5783-2000"
