"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"27","1040302490","Шайба 12","13","GB/T97.1-2002"
"28","00771500301080000","Держатель стального троса Ⅰ","1",""
"29","00771600301001310","Гнутая пластина","1",""
"30","00771600301001140","Ограничительный блок","1",""
"31","00771500301001080","Держатель стального троса ⅠⅠ","1",""
"32","1040301515","Шайба 8-200HV","3","GB/T97.1-2002"
"33","1040004517","Болт M8×16-8,8","3","JB/T5783-2000"
"34","00771600300200000","1-я секция стрелы","1",""
"35","00771600300400000","2-я секция стрелы","1",""
"36","00771600300600000","Стрела третьей секции","1",""
"37","00771500301001010","Стальной трос выдвигающей 
верхней стрелы","2",""
"38","00771500301010000","Гидроцилиндр 
выдвижения-втягивания","1",""
"39","1040002436","Болт M12×25-8,8","4","JB/T5783-2000"
"40","00771500301110000","Штифт","1",""
"41","00771500301001250","Прокладка 45","2",""
"42","00771900311001260","Самосмазывающийся подшипник","2",""
"43","00771500301180000","Шкив выдвигающей верхней 
стрелы","1",""
"44","00771500301120000","Держатель направляющего 
шкива","1",""
"45","00771500301001140","Концевой направляющий ползун","1",""
"46","1040100519","Винт M12×80-8.8","2","GB/T70.1-2000"
"47","1040200504","Гайка M10-8","4","GB/T889.1-2000"
"48","1040302512","Шайба 10-200HV","2","GB/T96.1-2002"
"49","00771600301001360","Защитная планка Ⅰ шкива 
выдвигающей стрелы","1",""
"50","1040000227","Болт M12×140-8,8","1","JB/T5782-2000"
"51","00771500301041020","Боковая планка","2",""
"52","00771500301041010","Соединительная плита","1",""
"53","00771600301151040","Роликовый шкив","4",""
"54","1040004554","Болт M10×130-8,8","2","JB/T5782-2000"
