"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004499","Болт M16×45-8,8","1","JB/T5783-2000"
"2","00773400400001170","Стопорный штифт","1",""
"3","00771402800001010","Штифт","1",""
"4","00771402800001070","Прокладка","1",""
"5","00771402800001130","Самосмазывающийся подшипник","2",""
"6","00771402810400000","Сварка вала колеса","1",""
"7","00771402800001100","Пластина","2",""
"8","00771402800001090","Пластина","6",""
"9","00771402800001080","Пластина","4",""
"10","1040301515","Шайба 8-200HV","4","GB/T97.1-2002"
"11","1040004519","Болт M8×25-8,8","4","JB/T5783-2000"
"12","00771402801200000","Плавающий цилиндр","2",""
"13","1040301511","Шайба 24-200HV","8","GB/T97.1-2002"
"14","1040005848","Болт M24×70-10,9","8","JB/T5783-2000"
